SW Version,2022.2
Date and Time Started,2026-Feb-24 15:00:33
Date and Time Ended,2026-Feb-24 15:00:36
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3712
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.503264,0.50365,0.50365,0.50365,0.503728,0.503728,0.50365,0.503573,0.503805
112,0.41609,0.45791,0.490795,0.503264,0.50365,0.493026,0.50365,0.50365,0.492197
104,0.341325,0.370841,0.439669,0.39102,0.465594,0.465405,0.370091,0.494183,0.501034
96,0.323608,0.31987,0.343028,0.354222,0.247374,0.313736,0.34423,0.33773,0.382266
88,0.257393,0.256503,0.239691,0.131432,0.0716503,0.124404,0.22023,0.256669,0.266474
80,0.251826,0.220686,0.133854,0.0523645,0.000108911,0.0510856,0.133059,0.22851,0.251961
72,0.25184,0.222908,0.125952,0.0221141,3.81476e-07,0.0328334,0.103408,0.189627,0.251922
64,0.25351,0.176969,0.113163,0.000997177,3.81476e-07,0.00740463,0.0665547,0.166522,0.251903
56,0.261657,0.129128,0.0388666,3.81476e-07,3.81476e-07,4.61585e-05,0.0384417,0.137816,0.251903
48,0.281588,0.126087,0.012113,3.81476e-07,3.81476e-07,3.81476e-07,0.0284146,0.103836,0.247366
40,0.28878,0.120045,0.00183642,3.81476e-07,3.81476e-07,3.81476e-07,0.0100034,0.0852496,0.250942
32,0.292277,0.101851,1.14443e-06,3.81476e-07,3.81476e-07,3.81476e-07,0.000187686,0.0506254,0.254371
24,0.28696,0.0520683,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0359831,0.256333
16,0.273383,0.0241465,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0261105,0.251574
8,0.26644,0.0143513,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00887217,0.25738
0,0.286511,0.00660964,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0144083,0.247671
-8,0.302533,0.000438697,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0276306,0.23399
-16,0.318329,0.00280842,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.43328e-05,0.0453042,0.204823
-24,0.340269,0.0176186,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00120699,0.0705833,0.198326
-32,0.349835,0.0396319,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0138182,0.082513,0.215646
-40,0.342221,0.0715012,3.81476e-07,3.81476e-07,3.81476e-07,5.72213e-07,0.0354536,0.103459,0.213313
-48,0.304983,0.0897152,2.89921e-05,3.81476e-07,3.81476e-07,0.000253872,0.0538056,0.117908,0.235176
-56,0.280776,0.133418,0.00632868,3.81476e-07,3.81476e-07,0.00698348,0.0740009,0.128283,0.238912
-64,0.267028,0.198303,0.0434884,3.81476e-07,3.81476e-07,0.0206159,0.0945618,0.140951,0.251324
-72,0.258103,0.242435,0.107916,0.00298447,3.64309e-05,0.0432565,0.112263,0.170574,0.248419
-80,0.252019,0.225052,0.161544,0.0692585,0.00379225,0.0670643,0.133174,0.225986,0.251903
-88,0.251827,0.25183,0.251789,0.0834394,0.0755243,0.115821,0.165689,0.214912,0.254848
-96,0.263559,0.281751,0.281852,0.357095,0.209486,0.30839,0.34689,0.291766,0.34464
-104,0.361109,0.369491,0.404091,0.423923,0.448085,0.471923,0.35151,0.491631,0.491111
-112,0.41372,0.483824,0.4651,0.495776,0.479567,0.474773,0.495776,0.495776,0.495849
-120,0.491354,0.495559,0.495776,0.495776,0.495776,0.495776,0.495849,0.495776,0.495849
Scan End
