SW Version,2022.2
Date and Time Started,2026-Feb-24 17:28:45
Date and Time Ended,2026-Feb-24 17:28:46
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3840
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.485079,0.502725,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.503805
112,0.417787,0.379524,0.499989,0.406185,0.500062,0.503573,0.503418,0.49348,0.50365
104,0.336095,0.368552,0.361123,0.330978,0.377142,0.337117,0.385837,0.44249,0.389802
96,0.299569,0.310772,0.284568,0.29028,0.247787,0.257048,0.337499,0.336012,0.393119
88,0.25791,0.244142,0.256871,0.14998,0.0613315,0.126847,0.195101,0.255416,0.261712
80,0.251825,0.251054,0.151421,0.101422,0.000221256,0.0472856,0.133916,0.232207,0.251941
72,0.251833,0.157415,0.119694,0.0294441,3.81476e-07,0.0267352,0.0973575,0.167585,0.251903
64,0.253174,0.135046,0.117818,0.00281395,3.81476e-07,0.0105352,0.0519184,0.14868,0.251903
56,0.257255,0.127619,0.0659786,3.81476e-07,3.81476e-07,0.00014477,0.034584,0.123071,0.252233
48,0.274491,0.125932,0.0161574,3.81476e-07,3.81476e-07,3.81476e-07,0.0250779,0.100084,0.262165
40,0.25345,0.120116,0.00372721,3.81476e-07,3.81476e-07,3.81476e-07,0.00766098,0.0743929,0.257231
32,0.270914,0.0893921,4.19623e-06,3.81476e-07,3.81476e-07,3.81476e-07,0.000223735,0.0422381,0.260553
24,0.272104,0.0495638,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0327992,0.263862
16,0.267287,0.0232501,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0199281,0.258786
8,0.247434,0.0152143,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00954662,0.261511
0,0.26616,0.00717975,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0153362,0.253558
-8,0.291592,0.000225643,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0321643,0.229777
-16,0.31581,0.00236667,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.75479e-05,0.0446474,0.216202
-24,0.33037,0.0151982,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00275502,0.0579506,0.20774
-32,0.317641,0.0332613,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.015137,0.0723219,0.209397
-40,0.321962,0.0608249,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0312073,0.0942463,0.217624
-48,0.306771,0.0880186,0.000275807,3.81476e-07,3.81476e-07,0.000259213,0.0418296,0.11397,0.235147
-56,0.275917,0.151281,0.00912051,3.81476e-07,3.81476e-07,0.00986324,0.060834,0.128909,0.232672
-64,0.265374,0.201473,0.0297423,3.81476e-07,3.81476e-07,0.0250021,0.0973255,0.14484,0.249174
-72,0.257539,0.183182,0.092168,0.0082126,9.91836e-06,0.0533258,0.103488,0.164563,0.251922
-80,0.251928,0.251825,0.192298,0.024961,0.00373522,0.0716325,0.126225,0.199441,0.251864
-88,0.251826,0.251827,0.250104,0.0906322,0.077772,0.123084,0.160736,0.22646,0.252038
-96,0.280844,0.257514,0.293708,0.302399,0.221264,0.327886,0.226648,0.349185,0.418621
-104,0.353487,0.369575,0.377083,0.368355,0.388252,0.48244,0.453894,0.415017,0.445898
-112,0.361372,0.426903,0.492976,0.468656,0.495104,0.495776,0.487902,0.495776,0.495926
-120,0.494188,0.495849,0.495776,0.495776,0.495849,0.495776,0.495776,0.495776,0.495849
Scan End
